ds,y,index
1/1/2013,10,0
1/2/2013,7.4,1
1/3/2013,7.166666667,2
1/4/2013,8.666666667,3
1/5/2013,6,4
1/6/2013,7,5
1/7/2013,7,6
1/8/2013,8.857142857,7
1/9/2013,14,8
1/10/2013,11,9
1/11/2013,15.71428571,10
1/12/2013,14,11
1/13/2013,15.83333333,12
1/14/2013,12.83333333,13
1/15/2013,14.71428571,14
1/16/2013,13.83333333,15
1/17/2013,16.5,16
1/18/2013,13.83333333,17
1/19/2013,12.5,18
1/20/2013,11.28571429,19
1/21/2013,11.2,20
1/22/2013,9.5,21
1/23/2013,14,22
1/24/2013,13.83333333,23
1/25/2013,12.25,24
1/26/2013,12.66666667,25
1/27/2013,12.85714286,26
1/28/2013,14.83333333,27
1/29/2013,14.125,28
1/30/2013,14.71428571,29
1/31/2013,16.2,30
2/1/2013,16,31
2/2/2013,16.28571429,32
2/3/2013,18,33
2/4/2013,17.42857143,34
2/5/2013,16.625,35
2/6/2013,16.66666667,36
2/7/2013,15.6,37
2/8/2013,14,38
2/9/2013,15.42857143,39
2/10/2013,15.25,40
2/11/2013,15.875,41
2/12/2013,15.33333333,42
2/13/2013,16.28571429,43
2/14/2013,17.33333333,44
2/15/2013,19.16666667,45
2/16/2013,14.42857143,46
2/17/2013,13.66666667,47
2/18/2013,15.6,48
2/19/2013,15.85714286,49
2/20/2013,17.71428571,50
2/21/2013,20,51
2/22/2013,20.5,52
2/23/2013,17.42857143,53
2/24/2013,16.85714286,54
2/25/2013,16.875,55
2/26/2013,17.85714286,56
2/27/2013,20.8,57
2/28/2013,19.42857143,58
3/1/2013,17.33333333,59
3/2/2013,19,60
3/3/2013,19.33333333,61
3/4/2013,17.6,62
3/5/2013,20.875,63
3/6/2013,20.85714286,64
3/7/2013,23.42857143,65
3/8/2013,24.16666667,66
3/9/2013,25.42857143,67
3/10/2013,23.14285714,68
3/11/2013,24,69
3/12/2013,23.5,70
3/13/2013,21.5,71
3/14/2013,22.33333333,72
3/15/2013,24.16666667,73
3/16/2013,20.33333333,74
3/17/2013,22.66666667,75
3/18/2013,23.42857143,76
3/19/2013,22.5,77
3/20/2013,29.16666667,78
3/21/2013,23.83333333,79
3/22/2013,25.25,80
3/23/2013,27.375,81
3/24/2013,27,82
3/25/2013,23.5,83
3/26/2013,24.14285714,84
3/27/2013,21,85
3/28/2013,22.42857143,86
3/29/2013,21.25,87
3/30/2013,23.5,88
3/31/2013,23.2,89
4/1/2013,25.375,90
4/2/2013,25.16666667,91
4/3/2013,26.2,92
4/4/2013,24.6,93
4/5/2013,25.6,94
4/6/2013,25.85714286,95
4/7/2013,29.14285714,96
4/8/2013,28.71428571,97
4/9/2013,30.16666667,98
4/10/2013,30,99
4/11/2013,30,100
4/12/2013,28.85714286,101
4/13/2013,30.2,102
4/14/2013,28.25,103
4/15/2013,28.25,104
4/16/2013,32.125,105
4/17/2013,29.2,106
4/18/2013,30.28571429,107
4/19/2013,28.28571429,108
4/20/2013,30.625,109
4/21/2013,27.66666667,110
4/22/2013,27.375,111
4/23/2013,28.625,112
4/24/2013,30.28571429,113
4/25/2013,31.14285714,114
4/26/2013,29.875,115
4/27/2013,31.14285714,116
4/28/2013,30.57142857,117
4/29/2013,32.125,118
4/30/2013,31.14285714,119
5/1/2013,31.85714286,120
5/2/2013,29.83333333,121
5/3/2013,28.57142857,122
5/4/2013,32.85714286,123
5/5/2013,32.625,124
5/6/2013,32.75,125
5/7/2013,32.875,126
5/8/2013,34.5,127
5/9/2013,34.28571429,128
5/10/2013,34,129
5/11/2013,30.75,130
5/12/2013,29.85714286,131
5/13/2013,31.71428571,132
5/14/2013,32.28571429,133
5/15/2013,33,134
5/16/2013,33,135
5/17/2013,32.83333333,136
5/18/2013,31.4,137
5/19/2013,35.33333333,138
5/20/2013,36.4,139
5/21/2013,36,140
5/22/2013,36.75,141
5/23/2013,37.5,142
5/24/2013,38.42857143,143
5/25/2013,38.71428571,144
5/26/2013,37.8,145
5/27/2013,35.85714286,146
5/28/2013,35.33333333,147
5/29/2013,34.14285714,148
5/30/2013,32.2,149
5/31/2013,33.625,150
6/1/2013,32,151
6/2/2013,32.4,152
6/3/2013,35.6,153
6/4/2013,35.85714286,154
6/5/2013,37.16666667,155
6/6/2013,31.28571429,156
6/7/2013,34,157
6/8/2013,34.2,158
6/9/2013,36.16666667,159
6/10/2013,36.625,160
6/11/2013,30.16666667,161
6/12/2013,34.14285714,162
6/13/2013,29.83333333,163
6/14/2013,30.14285714,164
6/15/2013,30.71428571,165
6/16/2013,27,166
6/17/2013,26.875,167
6/18/2013,28.4,168
6/19/2013,29.85714286,169
6/20/2013,33,170
6/21/2013,34.83333333,171
6/22/2013,35.6,172
6/23/2013,35.16666667,173
6/24/2013,33.14285714,174
6/25/2013,30.57142857,175
6/26/2013,30.66666667,176
6/27/2013,31.42857143,177
6/28/2013,31.5,178
6/29/2013,33.25,179
6/30/2013,32.83333333,180
7/1/2013,33.85714286,181
7/2/2013,33.14285714,182
7/3/2013,31.57142857,183
7/4/2013,32.375,184
7/5/2013,32.8,185
7/6/2013,31,186
7/7/2013,31.16666667,187
7/8/2013,29.83333333,188
7/9/2013,29,189
7/10/2013,29.75,190
7/11/2013,32.5,191
7/12/2013,28.875,192
7/13/2013,31.75,193
7/14/2013,30.75,194
7/15/2013,31.75,195
7/16/2013,29.875,196
7/17/2013,31.125,197
7/18/2013,31.75,198
7/19/2013,30.5,199
7/20/2013,26.83333333,200
7/21/2013,28.2,201
7/22/2013,29.5,202
7/23/2013,31.85714286,203
7/24/2013,29.71428571,204
7/25/2013,28.33333333,205
7/26/2013,30,206
7/27/2013,30.14285714,207
7/28/2013,32.28571429,208
7/29/2013,31,209
7/30/2013,30.5,210
7/31/2013,28.83333333,211
8/1/2013,30,212
8/2/2013,31.57142857,213
8/3/2013,32.5,214
8/4/2013,32.5,215
8/5/2013,29.5,216
8/6/2013,27.16666667,217
8/7/2013,28.375,218
8/8/2013,28.5,219
8/9/2013,27.16666667,220
8/10/2013,29.42857143,221
8/11/2013,30,222
8/12/2013,29.5,223
8/13/2013,30.75,224
8/14/2013,29.66666667,225
8/15/2013,27.71428571,226
8/16/2013,26.6,227
8/17/2013,27.42857143,228
8/18/2013,28.33333333,229
8/19/2013,28.16666667,230
8/20/2013,27.375,231
8/21/2013,28.33333333,232
8/22/2013,29.16666667,233
8/23/2013,31.28571429,234
8/24/2013,32,235
8/25/2013,29,236
8/26/2013,32,237
8/27/2013,32.14285714,238
8/28/2013,30.14285714,239
8/29/2013,31.5,240
8/30/2013,29.16666667,241
8/31/2013,29,242
9/1/2013,30,243
9/2/2013,31.85714286,244
9/3/2013,32.75,245
9/4/2013,31.71428571,246
9/5/2013,31.66666667,247
9/6/2013,30.57142857,248
9/7/2013,30.83333333,249
9/8/2013,28,250
9/9/2013,31,251
9/10/2013,29.66666667,252
9/11/2013,30.85714286,253
9/12/2013,31.16666667,254
9/13/2013,31.14285714,255
9/14/2013,30.5,256
9/15/2013,31.625,257
9/16/2013,29.66666667,258
9/17/2013,29.25,259
9/18/2013,29.14285714,260
9/19/2013,29.8,261
9/20/2013,28.66666667,262
9/21/2013,25.2,263
9/22/2013,28.33333333,264
9/23/2013,30.28571429,265
9/24/2013,30.75,266
9/25/2013,28.57142857,267
9/26/2013,28.2,268
9/27/2013,29,269
9/28/2013,30,270
9/29/2013,28.14285714,271
9/30/2013,26.85714286,272
10/1/2013,28.28571429,273
10/2/2013,29.2,274
10/3/2013,28.6,275
10/4/2013,24.83333333,276
10/5/2013,28.5,277
10/6/2013,29.75,278
10/7/2013,29.71428571,279
10/8/2013,29.2,280
10/9/2013,30.83333333,281
10/10/2013,29.42857143,282
10/11/2013,23.85714286,283
10/12/2013,26.14285714,284
10/13/2013,27.16666667,285
10/14/2013,27.71428571,286
10/15/2013,25.85714286,287
10/16/2013,26.42857143,288
10/17/2013,26.85714286,289
10/18/2013,26.33333333,290
10/19/2013,24.57142857,291
10/20/2013,24.33333333,292
10/21/2013,24.875,293
10/22/2013,27.8,294
10/23/2013,25,295
10/24/2013,23.85714286,296
10/25/2013,22.8,297
10/26/2013,23,298
10/27/2013,22.875,299
10/28/2013,22.66666667,300
10/29/2013,23,301
10/30/2013,22.85714286,302
10/31/2013,23.66666667,303
11/1/2013,23.42857143,304
11/2/2013,21.625,305
11/3/2013,20.625,306
11/4/2013,21.16666667,307
11/5/2013,18.83333333,308
11/6/2013,20.57142857,309
11/7/2013,20.14285714,310
11/8/2013,18,311
11/9/2013,19.85714286,312
11/10/2013,16.83333333,313
11/11/2013,18.85714286,314
11/12/2013,16.57142857,315
11/13/2013,17.75,316
11/14/2013,17.625,317
11/15/2013,17,318
11/16/2013,16.625,319
11/17/2013,15.57142857,320
11/18/2013,18.5,321
11/19/2013,17.875,322
11/20/2013,18.25,323
11/21/2013,17.875,324
11/22/2013,17.625,325
11/23/2013,18.14285714,326
