ds,y,index
1/1/1985,72.5052,0
2/1/1985,70.672,1
3/1/1985,62.4502,2
4/1/1985,57.4714,3
5/1/1985,55.3151,4
6/1/1985,58.0904,5
7/1/1985,62.6202,6
8/1/1985,63.2485,7
9/1/1985,60.5846,8
10/1/1985,56.3154,9
11/1/1985,58.0005,10
12/1/1985,68.7145,11
1/1/1986,73.3057,12
2/1/1986,67.9869,13
3/1/1986,62.2221,14
4/1/1986,57.0329,15
5/1/1986,55.8137,16
6/1/1986,59.9005,17
7/1/1986,65.7655,18
8/1/1986,64.4816,19
9/1/1986,61.0005,20
10/1/1986,57.5322,21
11/1/1986,59.3417,22
12/1/1986,68.1354,23
1/1/1987,73.8152,24
2/1/1987,70.062,25
3/1/1987,65.61,26
4/1/1987,60.1586,27
5/1/1987,58.8734,28
6/1/1987,63.8918,29
7/1/1987,68.8694,30
8/1/1987,70.0669,31
9/1/1987,64.1151,32
10/1/1987,60.3789,33
11/1/1987,62.4643,34
12/1/1987,70.5777,35
1/1/1988,79.8703,36
2/1/1988,76.1622,37
3/1/1988,70.2928,38
4/1/1988,63.2384,39
5/1/1988,61.4065,40
6/1/1988,67.1097,41
7/1/1988,72.9816,42
8/1/1988,75.7655,43
9/1/1988,67.5152,44
10/1/1988,63.2832,45
11/1/1988,65.1078,46
12/1/1988,73.8631,47
1/1/1989,77.9188,48
2/1/1989,76.6822,49
3/1/1989,73.3523,50
4/1/1989,65.1081,51
5/1/1989,63.6892,52
6/1/1989,68.4722,53
7/1/1989,74.0301,54
8/1/1989,75.0448,55
9/1/1989,69.3053,56
10/1/1989,65.8735,57
11/1/1989,69.0706,58
12/1/1989,84.1949,59
1/1/1990,84.3598,60
2/1/1990,77.1726,61
3/1/1990,73.1964,62
4/1/1990,67.2781,63
5/1/1990,65.8218,64
6/1/1990,71.4654,65
7/1/1990,76.614,66
8/1/1990,77.1052,67
9/1/1990,73.061,68
10/1/1990,67.4365,69
11/1/1990,68.5665,70
12/1/1990,77.6839,71
1/1/1991,86.0214,72
2/1/1991,77.5573,73
3/1/1991,73.365,74
4/1/1991,67.15,75
5/1/1991,68.8162,76
6/1/1991,74.8448,77
7/1/1991,80.0928,78
8/1/1991,79.1606,79
9/1/1991,73.5743,80
10/1/1991,68.7538,81
11/1/1991,72.5166,82
12/1/1991,79.4894,83
1/1/1992,85.2855,84
2/1/1992,80.1643,85
3/1/1992,74.5275,86
4/1/1992,69.6441,87
5/1/1992,67.1784,88
6/1/1992,71.2078,89
7/1/1992,77.5081,90
8/1/1992,76.5374,91
9/1/1992,72.3541,92
10/1/1992,69.0286,93
11/1/1992,73.4992,94
12/1/1992,84.5159,95
1/1/1993,87.9464,96
2/1/1993,84.5561,97
3/1/1993,79.4747,98
4/1/1993,71.0578,99
5/1/1993,67.6762,100
6/1/1993,74.3297,101
7/1/1993,82.1048,102
8/1/1993,82.0605,103
9/1/1993,74.6031,104
10/1/1993,69.681,105
11/1/1993,74.4292,106
12/1/1993,84.2284,107
1/1/1994,94.1386,108
2/1/1994,87.1607,109
3/1/1994,79.2456,110
4/1/1994,70.9749,111
5/1/1994,69.3844,112
6/1/1994,77.9831,113
7/1/1994,83.277,114
8/1/1994,81.8872,115
9/1/1994,75.6826,116
10/1/1994,71.2661,117
11/1/1994,75.2458,118
12/1/1994,84.8147,119
1/1/1995,92.4532,120
2/1/1995,87.4033,121
3/1/1995,81.2661,122
4/1/1995,73.8167,123
5/1/1995,73.2682,124
6/1/1995,78.3026,125
7/1/1995,85.9841,126
8/1/1995,89.5467,127
9/1/1995,78.5035,128
10/1/1995,73.7066,129
11/1/1995,79.6543,130
12/1/1995,90.8251,131
1/1/1996,98.9732,132
2/1/1996,92.8883,133
3/1/1996,86.9356,134
4/1/1996,77.2214,135
5/1/1996,76.6826,136
6/1/1996,81.9306,137
7/1/1996,85.9606,138
8/1/1996,86.5562,139
9/1/1996,79.1919,140
10/1/1996,74.6891,141
11/1/1996,81.074,142
12/1/1996,90.4855,143
1/1/1997,98.4613,144
2/1/1997,89.7795,145
3/1/1997,83.0125,146
4/1/1997,76.1476,147
5/1/1997,73.8471,148
6/1/1997,79.7645,149
7/1/1997,88.4519,150
8/1/1997,87.7828,151
9/1/1997,81.9386,152
10/1/1997,77.5027,153
11/1/1997,82.0448,154
12/1/1997,92.101,155
1/1/1998,94.792,156
2/1/1998,87.82,157
3/1/1998,86.5549,158
4/1/1998,76.7521,159
5/1/1998,78.0303,160
6/1/1998,86.4579,161
7/1/1998,93.8379,162
8/1/1998,93.531,163
9/1/1998,87.5414,164
10/1/1998,80.0924,165
11/1/1998,81.4349,166
12/1/1998,91.6841,167
1/1/1999,102.1348,168
2/1/1999,91.1829,169
3/1/1999,90.7381,170
4/1/1999,80.5176,171
5/1/1999,79.3887,172
6/1/1999,87.8431,173
7/1/1999,97.4903,174
8/1/1999,96.4157,175
9/1/1999,87.2248,176
10/1/1999,80.6409,177
11/1/1999,82.2025,178
12/1/1999,94.5113,179
1/1/2000,102.2301,180
2/1/2000,94.2989,181
3/1/2000,88.0927,182
4/1/2000,81.4425,183
5/1/2000,84.4552,184
6/1/2000,91.0406,185
7/1/2000,95.9957,186
8/1/2000,99.3704,187
9/1/2000,90.9178,188
10/1/2000,83.1408,189
11/1/2000,88.041,190
12/1/2000,102.4558,191
1/1/2001,109.1081,192
2/1/2001,97.1717,193
3/1/2001,92.8283,194
4/1/2001,82.915,195
5/1/2001,82.5465,196
6/1/2001,90.3955,197
7/1/2001,96.074,198
8/1/2001,99.5534,199
9/1/2001,88.281,200
10/1/2001,82.686,201
11/1/2001,82.9319,202
12/1/2001,93.0381,203
1/1/2002,102.9955,204
2/1/2002,95.2075,205
3/1/2002,93.2556,206
4/1/2002,85.795,207
5/1/2002,85.2351,208
6/1/2002,93.1896,209
7/1/2002,102.393,210
8/1/2002,101.6293,211
9/1/2002,93.3089,212
10/1/2002,86.9002,213
11/1/2002,88.5749,214
12/1/2002,100.8003,215
1/1/2003,110.1807,216
2/1/2003,103.8413,217
3/1/2003,94.5532,218
4/1/2003,85.062,219
5/1/2003,85.4653,220
6/1/2003,91.0761,221
7/1/2003,102.22,222
8/1/2003,104.4682,223
9/1/2003,92.9135,224
10/1/2003,86.5047,225
11/1/2003,88.5735,226
12/1/2003,103.5428,227
1/1/2004,113.7226,228
2/1/2004,106.159,229
3/1/2004,95.4029,230
4/1/2004,86.7233,231
5/1/2004,89.0302,232
6/1/2004,95.5045,233
7/1/2004,101.7948,234
8/1/2004,100.2025,235
9/1/2004,94.024,236
10/1/2004,87.5262,237
11/1/2004,89.6144,238
12/1/2004,105.7263,239
1/1/2005,111.1614,240
2/1/2005,101.7795,241
3/1/2005,98.9565,242
4/1/2005,86.4776,243
5/1/2005,87.2234,244
6/1/2005,99.5076,245
7/1/2005,108.3501,246
8/1/2005,109.4862,247
9/1/2005,99.1155,248
10/1/2005,89.7567,249
11/1/2005,90.4587,250
12/1/2005,108.2257,251
1/1/2006,104.4724,252
2/1/2006,101.5196,253
3/1/2006,98.4017,254
4/1/2006,87.5093,255
5/1/2006,90.0222,256
6/1/2006,100.5244,257
7/1/2006,110.9503,258
8/1/2006,111.5192,259
9/1/2006,95.7632,260
10/1/2006,90.3738,261
11/1/2006,92.3566,262
12/1/2006,103.066,263
1/1/2007,112.0576,264
2/1/2007,111.8399,265
3/1/2007,99.1925,266
4/1/2007,90.8177,267
5/1/2007,92.0587,268
6/1/2007,100.9676,269
7/1/2007,107.5686,270
8/1/2007,114.1036,271
9/1/2007,101.5316,272
10/1/2007,93.0068,273
11/1/2007,93.9126,274
12/1/2007,106.7528,275
1/1/2008,114.8331,276
2/1/2008,108.2353,277
3/1/2008,100.4386,278
4/1/2008,90.9944,279
5/1/2008,91.2348,280
6/1/2008,103.9581,281
7/1/2008,110.7631,282
8/1/2008,107.5665,283
9/1/2008,97.7183,284
10/1/2008,90.9979,285
11/1/2008,93.8057,286
12/1/2008,109.4221,287
1/1/2009,116.8316,288
2/1/2009,104.4202,289
3/1/2009,97.8529,290
4/1/2009,88.1973,291
5/1/2009,87.5366,292
6/1/2009,97.2387,293
7/1/2009,103.9086,294
8/1/2009,105.7486,295
9/1/2009,94.8823,296
10/1/2009,89.2977,297
11/1/2009,89.3585,298
12/1/2009,110.6844,299
1/1/2010,119.0166,300
2/1/2010,110.533,301
3/1/2010,98.2672,302
4/1/2010,86.3,303
5/1/2010,90.8364,304
6/1/2010,104.3538,305
7/1/2010,112.8066,306
8/1/2010,112.9014,307
9/1/2010,100.1209,308
10/1/2010,88.9251,309
11/1/2010,92.775,310
12/1/2010,114.3266,311
1/1/2011,119.488,312
2/1/2011,107.3753,313
3/1/2011,99.1028,314
4/1/2011,89.3583,315
5/1/2011,90.0698,316
6/1/2011,102.8204,317
7/1/2011,114.7068,318
8/1/2011,113.5958,319
9/1/2011,99.4712,320
10/1/2011,90.3566,321
11/1/2011,93.8095,322
12/1/2011,107.3312,323
1/1/2012,111.9646,324
2/1/2012,103.3679,325
3/1/2012,93.5772,326
4/1/2012,87.5566,327
5/1/2012,92.7603,328
6/1/2012,101.14,329
7/1/2012,113.0357,330
8/1/2012,109.8601,331
9/1/2012,96.7431,332
10/1/2012,90.3805,333
11/1/2012,94.3417,334
12/1/2012,105.2722,335
1/1/2013,115.501,336
2/1/2013,106.734,337
3/1/2013,102.9948,338
4/1/2013,91.0092,339
5/1/2013,90.9634,340
6/1/2013,100.6957,341
7/1/2013,110.148,342
8/1/2013,108.1756,343
9/1/2013,99.2809,344
10/1/2013,91.7871,345
11/1/2013,97.2853,346
12/1/2013,113.4732,347
1/1/2014,124.2549,348
2/1/2014,112.8811,349
3/1/2014,104.7631,350
4/1/2014,90.2867,351
5/1/2014,92.134,352
6/1/2014,101.878,353
7/1/2014,108.5497,354
8/1/2014,108.194,355
9/1/2014,100.4172,356
10/1/2014,92.3837,357
11/1/2014,99.7033,358
12/1/2014,109.3477,359
1/1/2015,120.2696,360
2/1/2015,116.3788,361
3/1/2015,104.4706,362
4/1/2015,89.7461,363
5/1/2015,91.093,364
6/1/2015,102.6495,365
7/1/2015,111.6354,366
8/1/2015,110.5925,367
9/1/2015,101.9204,368
10/1/2015,91.5959,369
11/1/2015,93.0628,370
12/1/2015,103.2203,371
1/1/2016,117.0837,372
2/1/2016,106.6688,373
3/1/2016,95.3548,374
4/1/2016,89.3254,375
5/1/2016,90.7369,376
6/1/2016,104.0375,377
7/1/2016,114.5397,378
8/1/2016,115.5159,379
