ds,y,index
12/10/2007,9.590761139,0
12/11/2007,8.519590316,1
12/12/2007,8.183676583,2
12/13/2007,8.072467369,3
12/14/2007,7.893572074,4
12/15/2007,7.783640596,5
12/16/2007,8.414052432,6
12/17/2007,8.829226355,7
12/18/2007,8.382518288,8
12/19/2007,8.069655307,9
12/20/2007,7.879291485,10
12/21/2007,7.761744985,11
12/22/2007,7.529406458,12
12/23/2007,8.38526052,13
12/24/2007,8.620110725,14
12/25/2007,7.852439085,15
12/26/2007,7.853993087,16
12/27/2007,8.051978079,17
12/28/2007,7.926602599,18
12/29/2007,7.838343316,19
12/30/2007,9.703144581,20
12/31/2007,9.385972941,21
1/1/2008,8.293799609,22
1/2/2008,8.43468077,23
1/3/2008,8.262042844,24
1/4/2008,8.106816039,25
1/5/2008,7.950149888,26
1/6/2008,9.509259076,27
1/7/2008,8.846784667,28
1/8/2008,8.430545385,29
1/9/2008,8.248267447,30
1/10/2008,8.28172399,31
1/11/2008,8.292798858,32
1/12/2008,8.199189359,33
1/13/2008,9.996522419,34
1/14/2008,10.12707101,35
1/15/2008,8.933796044,36
1/16/2008,8.566173814,37
1/17/2008,8.547722396,38
1/18/2008,8.399760095,39
1/19/2008,8.223090551,40
1/20/2008,8.838986793,41
1/21/2008,10.89720218,42
1/22/2008,9.444938073,43
1/23/2008,8.923324744,44
1/24/2008,8.543445563,45
1/25/2008,8.495560891,46
1/26/2008,8.417372856,47
1/27/2008,8.572627898,48
1/28/2008,8.736489351,49
1/29/2008,8.634086943,50
1/30/2008,8.673512946,51
2/1/2008,8.824236617,52
2/2/2008,8.537975731,53
2/3/2008,9.698061122,54
2/4/2008,12.09745684,55
2/5/2008,10.63527836,56
2/6/2008,9.691716588,57
2/7/2008,9.315600883,58
2/8/2008,8.970813341,59
2/9/2008,8.589141691,60
2/10/2008,8.617400452,61
2/11/2008,8.616314282,62
2/12/2008,8.215547412,63
2/13/2008,8.064950892,64
2/14/2008,8.11342664,65
2/15/2008,7.799343398,66
2/16/2008,7.62754439,67
2/17/2008,7.555905094,68
2/18/2008,7.71154898,69
2/19/2008,7.788626066,70
2/20/2008,7.708410667,71
2/21/2008,7.768533301,72
2/22/2008,7.695303135,73
2/23/2008,7.378383713,74
2/24/2008,7.910590612,75
2/25/2008,7.626570206,76
2/26/2008,7.573531263,77
2/27/2008,7.567862605,78
2/29/2008,7.552237288,79
3/2/2008,7.336936914,80
3/5/2008,8.12474302,81
3/6/2008,7.887584032,82
3/7/2008,7.819636302,83
3/8/2008,7.383989458,84
3/9/2008,7.814399634,85
3/10/2008,7.542213463,86
3/11/2008,7.548555979,87
3/12/2008,7.688913337,88
3/13/2008,7.477038472,89
3/14/2008,7.358830898,90
3/15/2008,7.032624261,91
3/16/2008,7.118016204,92
3/17/2008,7.349873705,93
3/18/2008,7.326465614,94
3/19/2008,7.363913501,95
3/20/2008,7.277938573,96
3/21/2008,7.251344983,97
3/22/2008,7.002155954,98
3/23/2008,7.163946684,99
3/24/2008,7.759187439,100
3/25/2008,7.518607217,101
3/26/2008,7.41397029,102
3/27/2008,7.442492723,103
3/28/2008,7.228388452,104
3/29/2008,6.991176887,105
3/30/2008,7.211556733,106
3/31/2008,7.311218384,107
4/1/2008,7.349230825,108
4/2/2008,7.514254653,109
4/3/2008,7.393263095,110
4/4/2008,7.286191715,111
4/5/2008,7.273092596,112
4/6/2008,7.168579897,113
4/7/2008,7.611347717,114
4/8/2008,7.617759577,115
4/9/2008,7.425953657,116
4/10/2008,8.182000136,117
4/11/2008,7.399398083,118
4/12/2008,7.106606138,119
4/13/2008,7.080867897,120
4/14/2008,7.421177529,121
4/15/2008,7.491645474,122
4/16/2008,7.385851078,123
4/17/2008,7.68294317,124
4/18/2008,7.688913337,125
4/19/2008,7.259116128,126
4/20/2008,8.144969417,127
4/21/2008,8.713910628,128
4/22/2008,8.091015042,129
4/23/2008,7.840312983,130
4/24/2008,7.648739789,131
4/25/2008,8.020927719,132
4/26/2008,7.830028083,133
4/27/2008,7.72753511,134
4/28/2008,7.835974582,135
4/29/2008,7.626570206,136
4/30/2008,7.644440762,137
5/1/2008,7.548555979,138
5/2/2008,7.440733707,139
5/3/2008,7.073269717,140
5/4/2008,7.026426809,141
5/5/2008,7.392031568,142
5/6/2008,7.29301768,143
5/7/2008,7.361375429,144
5/8/2008,7.512617545,145
5/9/2008,7.460490306,146
5/10/2008,7.114769448,147
5/11/2008,7.125283092,148
5/12/2008,7.455876687,149
5/13/2008,7.317212408,150
5/14/2008,7.410347098,151
5/15/2008,7.402451521,152
5/16/2008,7.294377299,153
5/17/2008,6.989335266,154
5/18/2008,6.993015123,155
5/19/2008,7.431299675,156
5/20/2008,7.362010551,157
5/21/2008,7.454719949,158
5/22/2008,7.368339686,159
5/23/2008,7.143617603,160
5/24/2008,6.835184586,161
5/25/2008,6.89060912,162
5/26/2008,6.974478911,163
5/27/2008,7.26612878,164
5/28/2008,7.270312886,165
5/29/2008,7.265429723,166
5/30/2008,7.157735484,167
5/31/2008,6.865891075,168
6/3/2008,7.153833802,169
6/4/2008,7.216709487,170
6/5/2008,7.201916318,171
6/6/2008,7.212294469,172
6/7/2008,7.186144305,173
6/8/2008,6.820016365,174
6/9/2008,6.882437471,175
6/10/2008,7.183111702,176
6/11/2008,7.242797923,177
6/12/2008,7.192934221,178
6/13/2008,7.183870715,179
6/14/2008,6.970730078,180
6/15/2008,6.91770561,181
6/16/2008,7.222566019,182
6/17/2008,7.356918242,183
6/18/2008,7.242797923,184
6/19/2008,7.22329568,185
6/20/2008,7.163172391,186
6/21/2008,7.241366283,187
6/22/2008,6.986566459,188
6/23/2008,6.963189986,189
6/24/2008,7.250635512,190
6/25/2008,7.160845907,191
6/26/2008,7.132497552,192
6/27/2008,7.091742115,193
6/28/2008,7.012115294,194
6/29/2008,6.857514063,195
6/30/2008,6.827629235,196
7/2/2008,7.13009851,197
7/3/2008,7.277247727,198
7/4/2008,7.038783541,199
7/5/2008,6.89060912,200
7/6/2008,6.957497371,201
7/7/2008,7.295735073,202
7/8/2008,7.497207223,203
7/9/2008,7.310550159,204
7/10/2008,7.20489251,205
7/11/2008,7.222566019,206
7/12/2008,7.257707677,207
8/1/2008,7.425953657,208
8/2/2008,7.117205503,209
8/3/2008,7.249925537,210
8/4/2008,8.276903481,211
8/5/2008,7.60638739,212
8/6/2008,7.643961949,213
8/7/2008,8.012349639,214
8/8/2008,7.930206207,215
8/9/2008,7.508787171,216
8/10/2008,7.52131798,217
8/11/2008,7.589841512,218
8/12/2008,7.500529485,219
8/13/2008,7.370230642,220
8/14/2008,7.385230923,221
8/15/2008,7.302496424,222
8/16/2008,7.275172319,223
8/17/2008,7.392031568,224
8/18/2008,7.516977225,225
8/19/2008,7.909122183,226
8/20/2008,7.723120092,227
8/21/2008,7.670428522,228
8/22/2008,7.62900389,229
8/23/2008,7.430707083,230
8/24/2008,7.579678823,231
8/25/2008,7.948385285,232
8/26/2008,7.795646536,233
8/27/2008,8.007367068,234
8/28/2008,7.790696031,235
8/29/2008,7.832807517,236
8/30/2008,7.51479976,237
8/31/2008,7.62754439,238
9/1/2008,7.855157006,239
9/2/2008,7.964850887,240
9/3/2008,7.74586823,241
9/4/2008,8.08085642,242
9/5/2008,8.25997566,243
9/6/2008,7.769800996,244
9/7/2008,8.177515824,245
9/8/2008,9.281730368,246
9/9/2008,8.33854488,247
9/10/2008,7.830425618,248
9/11/2008,7.808729307,249
9/12/2008,7.816819966,250
9/13/2008,7.554858521,251
9/14/2008,8.555066844,252
9/15/2008,8.207946941,253
9/16/2008,8.083637203,254
9/17/2008,7.791109511,255
9/18/2008,7.670894831,256
9/19/2008,7.640123173,257
9/20/2008,7.550135342,258
9/21/2008,8.249313746,259
9/22/2008,8.303999971,260
9/23/2008,8.126813721,261
9/24/2008,7.70616297,262
9/25/2008,7.663877259,263
9/26/2008,7.526717561,264
9/27/2008,7.925880317,265
9/28/2008,7.921535632,266
9/29/2008,8.033982735,267
9/30/2008,7.725771442,268
10/1/2008,7.694392803,269
10/2/2008,7.449498005,270
10/3/2008,7.391415235,271
10/4/2008,7.34601021,272
10/5/2008,8.101374671,273
10/6/2008,8.156510226,274
10/7/2008,7.971085754,275
10/8/2008,7.872836175,276
10/9/2008,7.635303886,277
10/10/2008,7.58781722,278
10/11/2008,7.342131731,279
10/12/2008,8.177515824,280
10/13/2008,8.340933226,281
10/14/2008,8.476579509,282
10/15/2008,7.87359779,283
10/16/2008,7.717351272,284
10/17/2008,7.490529402,285
10/18/2008,7.375882148,286
10/19/2008,8.075582637,287
10/20/2008,8.165363632,288
10/23/2008,7.585281079,289
10/24/2008,7.607381426,290
10/25/2008,7.267525428,291
10/26/2008,8.040124664,292
10/27/2008,8.109224953,293
10/28/2008,8.806873267,294
10/29/2008,7.747164967,295
10/30/2008,7.480992163,296
10/31/2008,7.346655163,297
11/1/2008,7.247080585,298
11/2/2008,7.938088727,299
11/3/2008,9.035629778,300
11/4/2008,8.041091004,301
11/5/2008,7.406103381,302
11/6/2008,7.973844376,303
11/7/2008,7.768110379,304
11/8/2008,7.471363088,305
11/9/2008,8.030084094,306
11/10/2008,8.729397123,307
11/11/2008,7.93701749,308
11/12/2008,7.665284718,309
11/13/2008,7.580189418,310
11/14/2008,7.710653324,311
11/15/2008,7.261225092,312
11/16/2008,8.046549357,313
11/17/2008,8.093462275,314
11/18/2008,7.767263997,315
11/19/2008,7.496652438,316
11/20/2008,7.552237288,317
11/21/2008,7.497207223,318
11/22/2008,7.312553498,319
11/23/2008,7.938802248,320
11/24/2008,9.058703197,321
11/25/2008,8.194229305,322
11/26/2008,7.519149958,323
11/27/2008,7.551186867,324
11/28/2008,7.713784617,325
11/29/2008,7.605890001,326
11/30/2008,8.499029221,327
12/1/2008,8.291797105,328
12/2/2008,7.89469085,329
12/3/2008,7.790282381,330
12/4/2008,7.655390645,331
12/5/2008,7.610357618,332
12/6/2008,7.531016332,333
12/7/2008,8.231376046,334
12/8/2008,8.006700845,335
12/9/2008,7.858640656,336
12/10/2008,7.697121317,337
12/11/2008,7.595889918,338
12/12/2008,7.73587032,339
12/13/2008,7.351158226,340
12/14/2008,8.031385331,341
12/15/2008,8.394347361,342
12/16/2008,7.823645931,343
12/17/2008,8.08671792,344
12/18/2008,7.77148876,345
12/19/2008,8.688959234,346
12/20/2008,7.747164967,347
12/21/2008,7.960672608,348
12/22/2008,8.624611588,349
12/23/2008,7.996653875,350
12/24/2008,7.620705087,351
12/25/2008,7.431891917,352
12/26/2008,7.462789157,353
12/27/2008,7.448916103,354
12/28/2008,8.251403065,355
12/29/2008,8.555259392,356
12/30/2008,8.315811132,357
12/31/2008,8.309922989,358
1/1/2009,7.758760544,359
1/2/2009,8.808219665,360
1/3/2009,9.121946221,361
1/4/2009,10.15381816,362
1/5/2009,9.267854278,363
1/6/2009,8.434246271,364
1/7/2009,8.137688185,365
1/8/2009,8.04494705,366
1/9/2009,8.228977643,367
1/10/2009,8.141189793,368
1/11/2009,9.215626376,369
1/12/2009,8.732788325,370
1/13/2009,8.510168576,371
1/14/2009,8.104099056,372
1/15/2009,7.950149888,373
1/16/2009,7.852050207,374
1/17/2009,7.656337166,375
1/18/2009,8.044305407,376
1/19/2009,8.801017834,377
1/20/2009,7.829630389,378
1/21/2009,7.777373603,379
1/22/2009,7.93522954,380
1/23/2009,7.672292456,381
1/24/2009,7.38832786,382
1/25/2009,7.511524648,383
1/26/2009,7.663407665,384
1/27/2009,7.789454566,385
1/28/2009,7.807916629,386
1/29/2009,7.824845691,387
1/30/2009,7.906547232,388
1/31/2009,7.70210434,389
2/1/2009,8.477620416,390
2/2/2009,9.149528233,391
2/3/2009,8.062117583,392
2/4/2009,8.06652149,393
2/5/2009,8.059592329,394
2/6/2009,8.049427057,395
2/7/2009,7.762170607,396
2/8/2009,8.097730574,397
2/9/2009,8.018296139,398
2/10/2009,7.616775809,399
2/11/2009,7.842671475,400
2/12/2009,7.768533301,401
2/13/2009,7.530479995,402
2/14/2009,7.332369206,403
2/15/2009,7.224024808,404
2/16/2009,7.416378479,405
2/17/2009,7.427144133,406
2/18/2009,7.397561536,407
2/19/2009,7.495541944,408
2/20/2009,7.399398083,409
2/21/2009,7.008505182,410
2/22/2009,7.118016204,411
2/23/2009,7.483806688,412
2/24/2009,7.571473649,413
2/25/2009,7.648263031,414
2/26/2009,7.474204806,415
2/27/2009,7.472500745,416
2/28/2009,7.211556733,417
3/1/2009,7.343426229,418
3/2/2009,7.482118924,419
3/3/2009,7.410951876,420
3/4/2009,7.403061091,421
3/5/2009,7.452982329,422
3/6/2009,7.423568444,423
3/7/2009,7.085064294,424
3/8/2009,7.210818453,425
3/9/2009,7.356279877,426
3/10/2009,7.304515946,427
3/11/2009,7.46565531,428
3/12/2009,7.869019376,429
3/13/2009,7.248504072,430
3/14/2009,7.07834158,431
3/15/2009,7.221105098,432
3/16/2009,7.33432935,433
3/17/2009,7.292337176,434
3/18/2009,7.299121463,435
3/19/2009,7.283448229,436
3/20/2009,7.301822342,437
3/21/2009,7.062191632,438
3/22/2009,7.181591945,439
3/23/2009,7.505492275,440
3/24/2009,7.874739125,441
3/25/2009,7.578656851,442
3/26/2009,7.36707706,443
3/27/2009,7.257002707,444
3/28/2009,7.056175284,445
3/29/2009,7.502738211,446
3/30/2009,7.443078374,447
3/31/2009,7.481555702,448
4/1/2009,7.482118924,449
4/2/2009,7.519149958,450
4/3/2009,7.659642955,451
4/4/2009,7.244227516,452
4/5/2009,7.232733136,453
4/6/2009,7.342131731,454
4/7/2009,7.421177529,455
4/8/2009,7.492203043,456
4/9/2009,7.31521839,457
4/10/2009,7.141245122,458
4/11/2009,7.009408933,459
4/12/2009,7.087573706,460
4/13/2009,7.304515946,461
4/14/2009,7.374629015,462
4/15/2009,7.512617545,463
4/16/2009,7.517520851,464
4/17/2009,7.374001859,465
4/18/2009,7.141245122,466
4/19/2009,7.161622003,467
4/20/2009,7.484930283,468
4/21/2009,7.512617545,469
4/22/2009,7.444833274,470
4/23/2009,7.474204806,471
4/24/2009,7.671826798,472
4/25/2009,7.842278779,473
4/26/2009,7.924072325,474
4/27/2009,7.828436359,475
4/28/2009,7.586803535,476
4/29/2009,7.629975707,477
4/30/2009,7.709756864,478
5/1/2009,7.526717561,479
5/2/2009,7.193685818,480
5/3/2009,7.257707677,481
5/4/2009,7.454141078,482
5/5/2009,7.481555702,483
5/6/2009,7.559038255,484
5/7/2009,7.444833274,485
5/8/2009,7.337587744,486
5/9/2009,7.135687347,487
5/10/2009,7.085064294,488
5/11/2009,7.272398393,489
5/12/2009,7.510977752,490
5/13/2009,7.498869734,491
5/14/2009,7.444248649,492
5/15/2009,7.403061091,493
5/16/2009,6.91671502,494
5/17/2009,6.977281342,495
5/18/2009,7.482681828,496
5/19/2009,7.41397029,497
5/20/2009,7.372118028,498
5/21/2009,7.333676396,499
5/22/2009,7.395107547,500
5/23/2009,7.036148494,501
5/24/2009,6.874198495,502
5/25/2009,6.98471632,503
5/26/2009,7.455876687,504
5/27/2009,7.494986234,505
5/28/2009,7.331060305,506
5/29/2009,7.104965448,507
5/30/2009,6.993932975,508
5/31/2009,6.930494766,509
6/1/2009,7.218176838,510
6/2/2009,7.475905969,511
6/3/2009,7.364547014,512
6/4/2009,7.239932591,513
6/5/2009,7.309212366,514
6/6/2009,7.138867,515
6/7/2009,6.972606251,516
6/8/2009,7.188412736,517
6/9/2009,7.334981879,518
6/10/2009,7.33432935,519
6/11/2009,7.432483808,520
6/12/2009,7.391415235,521
6/13/2009,6.961296046,522
6/14/2009,7.021976423,523
6/15/2009,7.213768308,524
6/16/2009,7.509883061,525
6/17/2009,7.328437353,526
6/18/2009,7.496652438,527
6/19/2009,7.200424893,528
6/20/2009,7.084226422,529
6/21/2009,7.149131599,530
6/22/2009,7.25629724,531
6/23/2009,7.198183577,532
6/24/2009,7.288927695,533
6/25/2009,7.128495946,534
6/26/2009,7.082548569,535
6/27/2009,6.822197391,536
6/28/2009,6.947937069,537
6/29/2009,7.112327445,538
6/30/2009,7.199678346,539
7/1/2009,7.317212408,540
7/2/2009,7.098375639,541
7/3/2009,7.044905117,542
7/4/2009,7.304515946,543
7/5/2009,7.793586803,544
7/6/2009,7.805474625,545
7/7/2009,7.483244416,546
7/8/2009,7.356918242,547
7/9/2009,7.50714108,548
7/10/2009,7.375255778,549
7/11/2009,7.196686571,550
7/12/2009,7.22329568,551
7/13/2009,7.3524411,552
7/14/2009,7.317212408,553
7/15/2009,7.444248649,554
7/16/2009,7.355641103,555
7/17/2009,7.324489979,556
7/18/2009,7.214504414,557
7/19/2009,7.284134806,558
7/20/2009,7.54009032,559
7/21/2009,7.474772182,560
7/22/2009,7.829232538,561
7/23/2009,7.681099002,562
7/24/2009,7.729735331,563
7/25/2009,7.303170051,564
7/26/2009,7.282073658,565
7/27/2009,7.485491608,566
7/28/2009,7.618742378,567
7/29/2009,7.693937326,568
7/30/2009,7.539558829,569
7/31/2009,7.43838353,570
8/1/2009,7.273786318,571
8/2/2009,7.355641103,572
8/3/2009,7.658227526,573
8/4/2009,7.843456404,574
8/5/2009,8.368461138,575
8/6/2009,8.172164452,576
8/7/2009,7.811568489,577
8/8/2009,7.5750717,578
8/9/2009,7.658699558,579
8/10/2009,7.866338923,580
8/11/2009,7.78113851,581
8/12/2009,7.754910272,582
8/13/2009,7.708859601,583
8/14/2009,8.207129168,584
8/15/2009,7.71154898,585
8/16/2009,7.734558844,586
8/17/2009,7.967626739,587
8/18/2009,8.403800504,588
8/19/2009,8.292798858,589
8/20/2009,7.985484357,590
8/21/2009,8.67180091,591
8/22/2009,7.782390336,592
8/23/2009,7.786967003,593
8/24/2009,7.946617563,594
8/25/2009,8.173575487,595
8/26/2009,7.809541325,596
8/27/2009,7.803026644,597
8/28/2009,8.051340933,598
8/29/2009,7.973155433,599
8/30/2009,7.869019376,600
8/31/2009,8.16251625,601
9/1/2009,8.040124664,602
9/2/2009,7.963460067,603
9/3/2009,7.838343316,604
9/4/2009,7.913155186,605
9/5/2009,7.953318347,606
9/6/2009,8.076204527,607
9/7/2009,7.982416347,608
9/8/2009,8.1285852,609
9/9/2009,7.954723334,610
9/10/2009,8.110126802,611
9/11/2009,8.213652703,612
9/12/2009,8.046869511,613
9/13/2009,8.924257021,614
9/14/2009,8.617219505,615
9/15/2009,8.519590316,616
9/16/2009,8.014335737,617
9/17/2009,8.057694195,618
9/18/2009,8.104401308,619
9/19/2009,7.993957548,620
9/20/2009,8.431853144,621
9/21/2009,9.738200088,622
9/22/2009,10.17998228,623
9/24/2009,8.361941906,624
9/28/2009,9.948843254,625
9/29/2009,8.759040728,626
9/30/2009,8.251663924,627
10/1/2009,8.078688229,628
10/2/2009,8.173575487,629
10/3/2009,7.889084407,630
10/4/2009,9.099855639,631
10/5/2009,9.406564834,632
10/6/2009,9.16440114,633
10/7/2009,8.487352349,634
10/8/2009,8.431417414,635
10/9/2009,8.277666161,636
10/10/2009,8.312135108,637
10/11/2009,8.790116893,638
10/12/2009,10.28003865,639
10/13/2009,9.075779879,640
10/17/2009,8.699181359,641
10/18/2009,9.086589565,642
10/19/2009,8.861491864,643
10/20/2009,8.544419178,644
10/21/2009,8.447628728,645
10/22/2009,8.252706677,646
10/23/2009,8.109826276,647
10/24/2009,8.136810864,648
10/25/2009,8.726805608,649
10/26/2009,9.382695764,650
10/27/2009,8.578288291,651
10/28/2009,8.238801166,652
10/29/2009,8.122371243,653
10/30/2009,8.055157732,654
10/31/2009,7.832410927,655
11/1/2009,8.897545599,656
11/2/2009,8.725669706,657
11/3/2009,8.564076777,658
11/4/2009,8.219056661,659
11/5/2009,8.147577736,660
11/6/2009,8.001355026,661
11/7/2009,7.789454566,662
11/8/2009,8.811950178,663
11/9/2009,9.002208578,664
11/10/2009,8.593042504,665
11/11/2009,8.281977059,666
11/12/2009,8.465057437,667
11/13/2009,8.494743063,668
11/14/2009,8.405143688,669
11/16/2009,10.55869919,670
11/17/2009,9.124564595,671
11/18/2009,8.731820583,672
11/19/2009,8.528924114,673
11/20/2009,8.50512061,674
11/21/2009,8.276394705,675
11/23/2009,9.123910644,676
11/24/2009,8.585972707,677
11/25/2009,8.315566484,678
11/26/2009,8.66112036,679
11/27/2009,8.925720274,680
11/28/2009,8.441391478,681
11/29/2009,9.227787286,682
11/30/2009,9.264733856,683
12/1/2009,9.274910143,684
12/2/2009,8.392989588,685
12/3/2009,8.585225602,686
12/4/2009,8.423761247,687
