Month,Rice,Wheat,Barley,Corn,Peanuts,Sugar,Coconut-oil,Palm-oil,Sunflower-oil,Chicken,Beef,Pork,Fish,Tea,Coffee
Oct-90,0.28,0.11,0.09,0.1,2.12,0.0049,0.28,0.29,0.58,0.0236,0.0571,2.5051,6.35,1.6,1.24
Nov-90,0.27,0.11,0.09,0.1,2.11,0.0049,0.34,0.33,0.56,0.0236,0.0558,2.4414,6.46,1.58,1.22
Dec-90,0.26,0.11,0.09,0.1,2,0.0046,0.32,0.35,0.55,0.0231,0.0562,2.3479,6.5,1.52,1.24
Jan-91,0.3,0.11,0.09,0.11,1.85,0.0042,0.34,0.35,0.57,0.0231,0.0571,2.6495,6.34,1.55,1.16
Feb-91,0.33,0.11,0.09,0.11,1.79,0.0042,0.33,0.34,0.6,0.0238,0.0602,2.3517,6.41,1.48,1.14
Mar-91,0.31,0.12,0.09,0.11,1.7,0.0044,0.34,0.35,0.61,0.0236,0.0571,2.4224,5.78,1.48,1.13
Apr-91,0.29,0.12,0.09,0.11,1.5,0.0042,0.32,0.32,0.61,0.0234,0.0575,2.3735,5.37,1.47,1.12
May-91,0.29,0.12,0.09,0.11,1.26,0.0037,0.34,0.32,0.6,0.0234,0.058,2.3574,5.05,1.48,1.04
Jun-91,0.29,0.12,0.07,0.1,1.1,0.0044,0.37,0.31,0.56,0.0231,0.0595,2.3107,4.6,1.38,1
Jul-91,0.3,0.12,0.07,0.11,1.18,0.0051,0.46,0.34,0.58,0.0236,0.0593,2.034,4.5,1.36,1
Aug-91,0.3,0.13,0.07,0.11,0.93,0.0046,0.46,0.34,0.6,0.0231,0.0582,1.715,4.71,1.35,0.99
Sep-91,0.29,0.14,0.07,0.11,0.93,0.0044,0.46,0.32,0.61,0.0231,0.0604,1.614,5.23,1.38,1.03
Oct-91,0.28,0.15,0.07,0.11,0.96,0.0044,0.55,0.34,0.57,0.0234,0.06,1.3226,5.18,1.41,1.01
Nov-91,0.27,0.15,0.07,0.11,0.85,0.0042,0.6,0.36,0.54,0.0229,0.0597,1.2286,5.59,1.38,1.11
Dec-91,0.27,0.16,0.08,0.11,0.8,0.0044,0.64,0.38,0.55,0.0229,0.0575,1.166,5.58,1.42,1.12
Jan-92,0.28,0.17,0.07,0.11,0.81,0.004,0.74,0.38,0.62,0.0231,0.0567,1.1413,5.47,1.45,1.08
Feb-92,0.28,0.18,0.07,0.11,0.78,0.0037,0.7,0.38,0.63,0.0227,0.0556,1.2066,5.36,1.39,0.94
Mar-92,0.28,0.17,0.07,0.12,0.77,0.004,0.64,0.4,0.66,0.0229,0.054,1.1548,5.26,1.39,0.94
Apr-92,0.28,0.16,0.08,0.11,0.79,0.0046,0.65,0.4,0.69,0.0229,0.0525,1.108,5.17,1.53,0.91
May-92,0.27,0.15,0.08,0.11,0.79,0.0046,0.64,0.39,0.73,0.0229,0.0525,1.4145,5.29,1.63,0.83
Jun-92,0.27,0.15,0.08,0.11,0.83,0.0051,0.59,0.4,0.71,0.0231,0.0514,1.3444,4.91,1.68,0.82
Jul-92,0.28,0.14,0.08,0.1,0.83,0.0051,0.53,0.38,0.7,0.0234,0.0518,1.3457,5.94,1.76,0.86
Aug-92,0.27,0.13,0.08,0.1,0.8,0.0049,0.49,0.38,0.68,0.0238,0.054,1.4467,7.07,1.8,0.86
Sep-92,0.26,0.14,0.08,0.1,0.76,0.0046,0.5,0.39,0.63,0.0238,0.0538,1.1872,7.89,1.92,0.9
Oct-92,0.25,0.14,0.08,0.1,0.8,0.0042,0.49,0.4,0.62,0.0234,0.0551,1.1852,6.94,1.89,0.97
Nov-92,0.25,0.15,0.08,0.09,0.82,0.0042,0.5,0.41,0.63,0.024,0.056,1.2359,6.04,1.82,1.05
Dec-92,0.26,0.15,0.08,0.09,0.83,0.004,0.46,0.4,0.66,0.024,0.056,1.1722,5.48,1.86,1.12
Jan-93,0.26,0.16,0.08,0.09,0.85,0.004,0.44,0.41,0.7,0.0245,0.0518,1.3038,5.25,1.91,1.03
Feb-93,0.25,0.15,0.07,0.09,0.85,0.0042,0.44,0.42,0.73,0.0249,0.0527,1.3885,5.07,1.78,1.04
Mar-93,0.23,0.15,0.08,0.1,0.86,0.0051,0.43,0.41,0.72,0.0254,0.0558,1.4462,4.93,1.58,1.01
Apr-93,0.21,0.14,0.08,0.1,0.87,0.0055,0.4,0.39,0.7,0.026,0.0571,1.405,5.46,1.46,0.99
May-93,0.18,0.14,0.08,0.1,1.05,0.0057,0.42,0.37,0.7,0.0273,0.0591,1.4683,5.85,1.42,1.02
Jun-93,0.19,0.12,0.08,0.09,1.03,0.0051,0.44,0.36,0.71,0.0271,0.0604,1.506,5.79,1.48,1.03
Jul-93,0.2,0.13,0.07,0.1,1,0.0046,0.46,0.36,0.7,0.0276,0.0622,1.4431,5.4,1.59,1.09
Aug-93,0.21,0.13,0.07,0.1,1.06,0.0046,0.46,0.36,0.7,0.0282,0.0617,1.5086,5.05,1.51,1.29
Sep-93,0.21,0.13,0.06,0.1,1.5,0.0046,0.42,0.35,0.71,0.028,0.0602,1.5207,4.73,1.45,1.38
Oct-93,0.26,0.14,0.06,0.11,1.42,0.0051,0.42,0.33,0.71,0.0271,0.0589,1.4725,4.35,1.54,1.3
Nov-93,0.31,0.15,0.06,0.12,1.3,0.0049,0.46,0.36,0.68,0.0267,0.0582,1.3378,3.94,1.46,1.36
Dec-93,0.32,0.16,0.07,0.12,1.31,0.0051,0.62,0.41,0.68,0.026,0.0542,1.2683,4.31,1.51,1.36
Jan-94,0.36,0.15,0.07,0.13,1.2,0.0051,0.6,0.4,0.65,0.0256,0.0534,1.3757,4.33,1.5,1.31
Feb-94,0.34,0.15,0.07,0.12,1.17,0.0053,0.57,0.39,0.6,0.026,0.0549,1.4956,4.49,1.61,1.34
Mar-94,0.27,0.14,0.07,0.12,1.18,0.0057,0.54,0.4,0.6,0.0269,0.0593,1.3808,4.59,1.66,1.43
Apr-94,0.27,0.14,0.07,0.11,0.99,0.0053,0.56,0.43,0.59,0.0271,0.058,1.3223,5.2,1.58,1.58
May-94,0.23,0.14,0.07,0.11,0.91,0.0057,0.6,0.49,0.6,0.0287,0.0527,1.3353,5.43,1.54,2.09
Jun-94,0.21,0.14,0.07,0.11,0.92,0.006,0.61,0.51,0.61,0.0289,0.0492,1.3508,5.46,1.57,2.48
Jul-94,0.23,0.14,0.06,0.1,0.92,0.0057,0.58,0.49,0.66,0.0282,0.0483,1.3358,5.24,1.71,3.62
Aug-94,0.25,0.15,0.07,0.1,0.9,0.006,0.6,0.57,0.68,0.0271,0.0485,1.3254,5.02,1.66,3.59
Sep-94,0.26,0.16,0.07,0.1,0.82,0.0062,0.62,0.61,0.67,0.0273,0.0487,1.1114,5.28,1.57,4.03
Oct-94,0.26,0.17,0.08,0.1,0.8,0.0062,0.62,0.62,0.65,0.0265,0.0467,1.0011,5.35,1.6,3.74
Nov-94,0.26,0.16,0.08,0.1,0.82,0.0068,0.71,0.71,0.67,0.0251,0.0483,0.8876,4.85,1.46,3.38
Dec-94,0.26,0.16,0.09,0.1,0.83,0.0071,0.69,0.72,0.67,0.0249,0.0492,1.0016,4.89,1.39,2.86
Jan-95,0.28,0.16,0.09,0.11,0.88,0.0073,0.62,0.66,0.67,0.0249,0.0476,1.1777,4.81,1.38,2.9
Feb-95,0.28,0.15,0.09,0.11,0.88,0.0071,0.64,0.66,0.72,0.0249,0.0478,1.2275,4.78,1.36,2.97
Mar-95,0.29,0.15,0.09,0.11,0.86,0.0071,0.63,0.69,0.73,0.0251,0.0456,1.1916,5.08,1.34,3.22
Apr-95,0.28,0.15,0.09,0.11,0.82,0.0066,0.62,0.62,0.72,0.0249,0.043,1.1255,5.17,1.35,3.19
May-95,0.29,0.16,0.1,0.11,0.82,0.0066,0.62,0.61,0.71,0.0254,0.0399,1.0593,5.36,1.3,3.11
Jun-95,0.33,0.17,0.11,0.12,0.84,0.0068,0.67,0.63,0.71,0.0262,0.0388,1.2247,5.42,1.29,2.84
Jul-95,0.35,0.19,0.11,0.13,0.88,0.0066,0.69,0.66,0.76,0.0273,0.0373,1.4564,5.01,1.28,2.64
Aug-95,0.34,0.18,0.1,0.13,0.88,0.0064,0.69,0.62,0.83,0.0289,0.0381,1.7214,4.75,1.24,2.87
Sep-95,0.36,0.19,0.1,0.13,0.97,0.0057,0.68,0.59,0.92,0.0295,0.0397,1.6689,4.67,1.31,2.54
Oct-95,0.38,0.2,0.11,0.14,1.06,0.0057,0.72,0.62,1,0.0284,0.041,1.7308,4.45,1.27,2.49
Nov-95,0.34,0.2,0.13,0.14,1.02,0.0057,0.75,0.61,1.11,0.0291,0.0432,1.4526,3.93,1.24,2.44
Dec-95,0.34,0.21,0.12,0.15,1.01,0.006,0.72,0.59,1.28,0.0284,0.0425,1.5763,3.87,1.27,2.05
Jan-96,0.37,0.21,0.12,0.16,0.99,0.0062,0.71,0.54,1.36,0.0284,0.0419,1.6072,4.32,1.37,1.98
Feb-96,0.37,0.22,0.12,0.16,0.98,0.0062,0.74,0.52,1.4,0.0276,0.0403,1.7308,4.27,1.34,2.14
Mar-96,0.36,0.22,0.12,0.18,0.99,0.0062,0.72,0.52,1.47,0.0269,0.0386,1.978,4.36,1.37,2
Apr-96,0.33,0.26,0.13,0.19,1.01,0.0057,0.76,0.56,1.71,0.0273,0.0397,2.1943,4.44,1.42,2
May-96,0.33,0.26,0.14,0.2,1.01,0.0055,0.78,0.55,1.84,0.0293,0.0395,2.4725,4.25,1.43,2.01
Jun-96,0.34,0.23,0.14,0.2,0.95,0.006,0.82,0.51,1.86,0.0315,0.0375,2.2562,4.25,1.4,1.9
Jul-96,0.36,0.2,0.13,0.2,0.99,0.0062,0.78,0.48,1.84,0.0322,0.0377,2.7507,3.78,1.37,1.71
Aug-96,0.34,0.19,0.12,0.19,0.97,0.006,0.74,0.51,1.96,0.0324,0.039,2.7507,3.68,1.44,1.75
